23K647,K647,Metropolitan Diploma Plus High School,Meri Yallowitz,Transfer School,Enrollment < 1000,Parent Acdemic Expectations BELOW Average,Student Acdemic Expectations BELOW Average,Teacher Acdemic Expectations BELOW Average,Acdemic Expectations BELOW Average,Parent Communication AT LEAST Average,Student Communication BELOW Average,Teacher Communication BELOW Average,Communication BELOW Average,Parent Engagement BELOW Average,Student Engagement BELOW Average,Teacher Engagement BELOW Average,Engagement BELOW Average,Parent Safety and Respect BELOW Average,Student Safety and Respect AT LEAST Average,Teacher Safety and Respect BELOW Average,Safety and Respect BELOW Average,Parent Horizon Academic Expectation BELOW Average,Student Horizon Academic Expectation BELOW Average,Teacher Horizon Academic Expectation BELOW Average,Horizon Academic Expectation BELOW Average,Parent Horizon Communication BELOW Average,Student Horizon Communication BELOW Average,Teacher Horizon Communication BELOW Average,Horizon Communication BELOW Average,Parent Horizon Engagement BELOW Average,Student Horizon Engagement BELOW Average,Teacher Horizon Engagement BELOW Average,Horizon Engagement BELOW Average,Parent Horizon Safety and Respect BELOW Average,Student Horizon Safety and Respect BELOW Average,Teacher Horizon Safety and Respect BELOW Average,Horizon Safety and Respect BELOW Average
08X381,X381,Bronx Haven High School,Lucinda Mendez,Transfer School,Enrollment < 1000,Parent Acdemic Expectations AT LEAST Average,Student Acdemic Expectations AT LEAST Average,Teacher Acdemic Expectations AT LEAST Average,Acdemic Expectations AT LEAST Average,Parent Communication AT LEAST Average,Student Communication AT LEAST Average,Teacher Communication AT LEAST Average,Communication AT LEAST Average,Parent Engagement AT LEAST Average,Student Engagement AT LEAST Average,Teacher Engagement AT LEAST Average,Engagement AT LEAST Average,Parent Safety and Respect BELOW Average,Student Safety and Respect AT LEAST Average,Teacher Safety and Respect AT LEAST Average,Safety and Respect AT LEAST Average,Parent Horizon Academic Expectation BELOW Average,Student Horizon Academic Expectation AT LEAST Average,Teacher Horizon Academic Expectation AT LEAST Average,Horizon Academic Expectation AT LEAST Average,Parent Horizon Communication BELOW Average,Student Horizon Communication AT LEAST Average,Teacher Horizon Communication AT LEAST Average,Horizon Communication AT LEAST Average,Parent Horizon Engagement BELOW Average,Student Horizon Engagement AT LEAST Average,Teacher Horizon Engagement AT LEAST Average,Horizon Engagement AT LEAST Average,Parent Horizon Safety and Respect BELOW Average,Student Horizon Safety and Respect AT LEAST Average,Teacher Horizon Safety and Respect BELOW Average,Horizon Safety and Respect BELOW Average
13K616,K616,Brooklyn High School for Leadership and Community Service,Georgia Kouriampalis,Transfer School,Enrollment < 1000,Parent Acdemic Expectations AT LEAST Average,Student Acdemic Expectations AT LEAST Average,Teacher Acdemic Expectations AT LEAST Average,Acdemic Expectations AT LEAST Average,Parent Communication AT LEAST Average,Student Communication AT LEAST Average,Teacher Communication BELOW Average,Communication AT LEAST Average,Parent Engagement AT LEAST Average,Student Engagement AT LEAST Average,Teacher Engagement AT LEAST Average,Engagement AT LEAST Average,Parent Safety and Respect AT LEAST Average,Student Safety and Respect AT LEAST Average,Teacher Safety and Respect BELOW Average,Safety and Respect AT LEAST Average,Parent Horizon Academic Expectation BELOW Average,Student Horizon Academic Expectation BELOW Average,Teacher Horizon Academic Expectation AT LEAST Average,Horizon Academic Expectation BELOW Average,Parent Horizon Communication BELOW Average,Student Horizon Communication AT LEAST Average,Teacher Horizon Communication BELOW Average,Horizon Communication BELOW Average,Parent Horizon Engagement BELOW Average,Student Horizon Engagement AT LEAST Average,Teacher Horizon Engagement AT LEAST Average,Horizon Engagement AT LEAST Average,Parent Horizon Safety and Respect AT LEAST Average,Student Horizon Safety and Respect BELOW Average,Teacher Horizon Safety and Respect BELOW Average,Horizon Safety and Respect BELOW Average
24Q744,Q744,VOYAGES Preparatory,Joan Klingsberg,Transfer School,Enrollment < 1000,Parent Acdemic Expectations AT LEAST Average,Student Acdemic Expectations AT LEAST Average,Teacher Acdemic Expectations AT LEAST Average,Acdemic Expectations AT LEAST Average,Parent Communication AT LEAST Average,Student Communication AT LEAST Average,Teacher Communication AT LEAST Average,Communication AT LEAST Average,Parent Engagement BELOW Average,Student Engagement AT LEAST Average,Teacher Engagement AT LEAST Average,Engagement AT LEAST Average,Parent Safety and Respect AT LEAST Average,Student Safety and Respect AT LEAST Average,Teacher Safety and Respect BELOW Average,Safety and Respect AT LEAST Average,Parent Horizon Academic Expectation BELOW Average,Student Horizon Academic Expectation AT LEAST Average,Teacher Horizon Academic Expectation BELOW Average,Horizon Academic Expectation BELOW Average,Parent Horizon Communication BELOW Average,Student Horizon Communication AT LEAST Average,Teacher Horizon Communication AT LEAST Average,Horizon Communication AT LEAST Average,Parent Horizon Engagement BELOW Average,Student Horizon Engagement AT LEAST Average,Teacher Horizon Engagement AT LEAST Average,Horizon Engagement AT LEAST Average,Parent Horizon Safety and Respect BELOW Average,Student Horizon Safety and Respect AT LEAST Average,Teacher Horizon Safety and Respect BELOW Average,Horizon Safety and Respect BELOW Average
18K635,K635,Olympus Academy,Seth Schoenfeld,Transfer School,Enrollment < 1000,Parent Acdemic Expectations AT LEAST Average,Student Acdemic Expectations AT LEAST Average,Teacher Acdemic Expectations AT LEAST Average,Acdemic Expectations AT LEAST Average,Parent Communication AT LEAST Average,Student Communication AT LEAST Average,Teacher Communication AT LEAST Average,Communication AT LEAST Average,Parent Engagement AT LEAST Average,Student Engagement AT LEAST Average,Teacher Engagement AT LEAST Average,Engagement AT LEAST Average,Parent Safety and Respect AT LEAST Average,Student Safety and Respect AT LEAST Average,Teacher Safety and Respect AT LEAST Average,Safety and Respect AT LEAST Average,Parent Horizon Academic Expectation BELOW Average,Student Horizon Academic Expectation BELOW Average,Teacher Horizon Academic Expectation AT LEAST Average,Horizon Academic Expectation BELOW Average,Parent Horizon Communication BELOW Average,Student Horizon Communication AT LEAST Average,Teacher Horizon Communication AT LEAST Average,Horizon Communication AT LEAST Average,Parent Horizon Engagement BELOW Average,Student Horizon Engagement BELOW Average,Teacher Horizon Engagement AT LEAST Average,Horizon Engagement AT LEAST Average,Parent Horizon Safety and Respect BELOW Average,Student Horizon Safety and Respect BELOW Average,Teacher Horizon Safety and Respect BELOW Average,Horizon Safety and Respect BELOW Average
23K646,K646,Aspirations Diploma Plus High School,Matt Molloy,Transfer School,Enrollment < 1000,Parent Acdemic Expectations AT LEAST Average,Student Acdemic Expectations BELOW Average,Teacher Acdemic Expectations BELOW Average,Acdemic Expectations BELOW Average,Parent Communication AT LEAST Average,Student Communication AT LEAST Average,Teacher Communication BELOW Average,Communication BELOW Average,Parent Engagement AT LEAST Average,Student Engagement BELOW Average,Teacher Engagement BELOW Average,Engagement BELOW Average,Parent Safety and Respect AT LEAST Average,Student Safety and Respect BELOW Average,Teacher Safety and Respect BELOW Average,Safety and Respect BELOW Average,Parent Horizon Academic Expectation AT LEAST Average,Student Horizon Academic Expectation BELOW Average,Teacher Horizon Academic Expectation BELOW Average,Horizon Academic Expectation BELOW Average,Parent Horizon Communication AT LEAST Average,Student Horizon Communication BELOW Average,Teacher Horizon Communication BELOW Average,Horizon Communication BELOW Average,Parent Horizon Engagement AT LEAST Average,Student Horizon Engagement BELOW Average,Teacher Horizon Engagement BELOW Average,Horizon Engagement BELOW Average,Parent Horizon Safety and Respect AT LEAST Average,Student Horizon Safety and Respect BELOW Average,Teacher Horizon Safety and Respect BELOW Average,Horizon Safety and Respect BELOW Average
23K643,K643,Brooklyn Democracy Academy,Thomas Mckenna,Transfer School,Enrollment < 1000,Parent Acdemic Expectations AT LEAST Average,Student Acdemic Expectations AT LEAST Average,Teacher Acdemic Expectations AT LEAST Average,Acdemic Expectations AT LEAST Average,Parent Communication AT LEAST Average,Student Communication AT LEAST Average,Teacher Communication AT LEAST Average,Communication AT LEAST Average,Parent Engagement AT LEAST Average,Student Engagement AT LEAST Average,Teacher Engagement AT LEAST Average,Engagement AT LEAST Average,Parent Safety and Respect AT LEAST Average,Student Safety and Respect AT LEAST Average,Teacher Safety and Respect BELOW Average,Safety and Respect AT LEAST Average,Parent Horizon Academic Expectation AT LEAST Average,Student Horizon Academic Expectation BELOW Average,Teacher Horizon Academic Expectation AT LEAST Average,Horizon Academic Expectation AT LEAST Average,Parent Horizon Communication AT LEAST Average,Student Horizon Communication AT LEAST Average,Teacher Horizon Communication AT LEAST Average,Horizon Communication AT LEAST Average,Parent Horizon Engagement AT LEAST Average,Student Horizon Engagement BELOW Average,Teacher Horizon Engagement AT LEAST Average,Horizon Engagement AT LEAST Average,Parent Horizon Safety and Respect AT LEAST Average,Student Horizon Safety and Respect BELOW Average,Teacher Horizon Safety and Respect BELOW Average,Horizon Safety and Respect BELOW Average
01M515,M515,Lower East Side Preparatory High School,Martha Polin,Transfer School,Enrollment < 1000,Parent Acdemic Expectations BELOW Average,Student Acdemic Expectations AT LEAST Average,Teacher Acdemic Expectations AT LEAST Average,Acdemic Expectations AT LEAST Average,Parent Communication BELOW Average,Student Communication AT LEAST Average,Teacher Communication AT LEAST Average,Communication AT LEAST Average,Parent Engagement BELOW Average,Student Engagement AT LEAST Average,Teacher Engagement AT LEAST Average,Engagement AT LEAST Average,Parent Safety and Respect AT LEAST Average,Student Safety and Respect AT LEAST Average,Teacher Safety and Respect AT LEAST Average,Safety and Respect AT LEAST Average,Parent Horizon Academic Expectation BELOW Average,Student Horizon Academic Expectation BELOW Average,Teacher Horizon Academic Expectation AT LEAST Average,Horizon Academic Expectation BELOW Average,Parent Horizon Communication BELOW Average,Student Horizon Communication BELOW Average,Teacher Horizon Communication AT LEAST Average,Horizon Communication BELOW Average,Parent Horizon Engagement BELOW Average,Student Horizon Engagement BELOW Average,Teacher Horizon Engagement AT LEAST Average,Horizon Engagement AT LEAST Average,Parent Horizon Safety and Respect BELOW Average,Student Horizon Safety and Respect AT LEAST Average,Teacher Horizon Safety and Respect AT LEAST Average,Horizon Safety and Respect AT LEAST Average
01M650,M650,Cascades High School,Paul Rotondo,Transfer School,Enrollment < 1000,Parent Acdemic Expectations AT LEAST Average,Student Acdemic Expectations AT LEAST Average,Teacher Acdemic Expectations AT LEAST Average,Acdemic Expectations AT LEAST Average,Parent Communication AT LEAST Average,Student Communication AT LEAST Average,Teacher Communication AT LEAST Average,Communication AT LEAST Average,Parent Engagement AT LEAST Average,Student Engagement AT LEAST Average,Teacher Engagement AT LEAST Average,Engagement AT LEAST Average,Parent Safety and Respect AT LEAST Average,Student Safety and Respect AT LEAST Average,Teacher Safety and Respect AT LEAST Average,Safety and Respect AT LEAST Average,Parent Horizon Academic Expectation AT LEAST Average,Student Horizon Academic Expectation AT LEAST Average,Teacher Horizon Academic Expectation AT LEAST Average,Horizon Academic Expectation AT LEAST Average,Parent Horizon Communication AT LEAST Average,Student Horizon Communication BELOW Average,Teacher Horizon Communication AT LEAST Average,Horizon Communication AT LEAST Average,Parent Horizon Engagement AT LEAST Average,Student Horizon Engagement AT LEAST Average,Teacher Horizon Engagement AT LEAST Average,Horizon Engagement AT LEAST Average,Parent Horizon Safety and Respect AT LEAST Average,Student Horizon Safety and Respect AT LEAST Average,Teacher Horizon Safety and Respect BELOW Average,Horizon Safety and Respect AT LEAST Average
02M313,M313,James Baldwin School: A School for Expeditionary Learning,Elijah Hawkes,Transfer School,Enrollment < 1000,Parent Acdemic Expectations AT LEAST Average,Student Acdemic Expectations AT LEAST Average,Teacher Acdemic Expectations AT LEAST Average,Acdemic Expectations AT LEAST Average,Parent Communication AT LEAST Average,Student Communication AT LEAST Average,Teacher Communication AT LEAST Average,Communication AT LEAST Average,Parent Engagement BELOW Average,Student Engagement AT LEAST Average,Teacher Engagement AT LEAST Average,Engagement AT LEAST Average,Parent Safety and Respect AT LEAST Average,Student Safety and Respect AT LEAST Average,Teacher Safety and Respect BELOW Average,Safety and Respect AT LEAST Average,Parent Horizon Academic Expectation BELOW Average,Student Horizon Academic Expectation BELOW Average,Teacher Horizon Academic Expectation AT LEAST Average,Horizon Academic Expectation BELOW Average,Parent Horizon Communication BELOW Average,Student Horizon Communication BELOW Average,Teacher Horizon Communication AT LEAST Average,Horizon Communication AT LEAST Average,Parent Horizon Engagement BELOW Average,Student Horizon Engagement BELOW Average,Teacher Horizon Engagement AT LEAST Average,Horizon Engagement BELOW Average,Parent Horizon Safety and Respect BELOW Average,Student Horizon Safety and Respect BELOW Average,Teacher Horizon Safety and Respect BELOW Average,Horizon Safety and Respect BELOW Average
